brand,model,model_date_start,model_date_end,type,type_date_start,type_date_end,kw,cv,category,product_line,part_number,diameter,thickness,height,width,number_of_holes,brake_disc_type,centering,min_thickness,tightening_torque,units_per_box,braking_system,wear_indicator,wva_number,fmsi,accessories,position
CHEVROLET,SUBURBAN 1500 SUV,09/06,12/14,6.0,09/07,12/09,273,371,UPGRADE GT kit,GT | A4 | TY3,2H3.9002A_,380mm,32mm,,,,,,,,,,,,,,,4,2 pieces,2 pieces
CHEVROLET,SUBURBAN 1500 SUV,09/06,12/14,6.0 4WD,09/07,12/09,273,371,UPGRADE GT kit,GT | A6 | D,1J1.9017A_,380mm,34mm,,,,,,,,,,,,,,,6,2 pieces,2 pieces
CHEVROLET,SUBURBAN 1500 SUV,09/06,12/14,6.0 4WD,09/07,12/09,273,371,UPGRADE GT kit,GT | A6 | TY1,1J2.9017A_,380mm,34mm,,,,,,,,,,,,,,,6,2 pieces,2 pieces
CHEVROLET,SUBURBAN 1500 SUV,09/06,12/14,6.0 4WD,09/07,12/09,273,371,UPGRADE GT kit,GT | A6 | TY3,1J3.9017A_,380mm,34mm,,,,,,,,,,,,,,,6,2 pieces,2 pieces
CHEVROLET,SUBURBAN 1500 SUV,09/06,12/14,6.0 4WD,09/07,12/09,273,371,UPGRADE GT kit,GT | BM8 | D,1Q1.9602A_,412mm,38mm,,,,,,,,,,,,,,,8,2 pieces,BM monoblock
CHEVROLET,SUBURBAN 1500 SUV,09/06,12/14,6.0 4WD,09/07,12/09,273,371,UPGRADE GT kit,GT | BM8 | TY1,1Q2.9602A_,412mm,38mm,,,,,,,,,,,,,,,8,2 pieces,BM monoblock
CHEVROLET,SUBURBAN 1500 SUV,09/06,12/14,6.0 4WD,09/07,12/09,273,371,UPGRADE GT kit,GT | A4 | D,2H1.9002A_,380mm,32mm,,,,,,,,,,,,,,,4,2 pieces,2 pieces
CHEVROLET,SUBURBAN 1500 SUV,09/06,12/14,6.0 4WD,09/07,12/09,273,371,UPGRADE GT kit,GT | A4 | TY1,2H2.9002A_,380mm,32mm,,,,,,,,,,,,,,,4,2 pieces,2 pieces
CHEVROLET,SUBURBAN 1500 SUV,09/06,12/14,6.0 4WD,09/07,12/09,273,371,UPGRADE GT kit,GT | A4 | TY3,2H3.9002A_,380mm,32mm,,,,,,,,,,,,,,,4,2 pieces,2 pieces
CHEVROLET,SUBURBAN 1500 SUV,09/93,12/99,5.7,09/95,12/99,190,258,Brake pads,Prime Ceramic,P10021N,,17mm,59 - 76mm,126 - 147mm,,,,,,,Bendix,Acoustic,25373,D369 7259,With accessoriesWith anti-squeal shim,
CHEVROLET,SUBURBAN 2500 SUV,09/99,12/07,8.1,09/00,12/03,254,345,Brake discs,Prime,09.9022.11,325mm,38mm,89mm,,8,Ventilated,118mm,"36,5mm",150Nm,1,,,,,,,,,
CHEVROLET,SUBURBAN 2500 SUV,09/99,12/07,8.1,09/00,12/03,254,345,Brake discs,Prime,09.8811.81,330mm,29mm,90mm,,8,Ventilated,123mm,27mm,,1,,,,,,,,,
CHEVROLET,SUBURBAN 2500 SUV,09/99,12/07,8.1,09/00,12/03,254,345,Brake pads,Prime Ceramic,P10026N,,19mm,67mm,216mm,,,,,,,Akebono,Acoustic,24628,"D784 7652, D784 8454",With anti-squeal shim,,,,
CHEVROLET,SUBURBAN 2500 SUV,09/99,12/07,8.1,09/00,12/03,254,345,Brake pads,Prime Ceramic,P10027N,,19mm,59mm,178mm,,,,,,,,Acoustic,,D785 7653,With anti-squeal shim,,,,
CHEVROLET,SUBURBAN 2500 SUV,09/99,12/07,8.1,09/00,12/03,254,345,UPGRADE GT kit,GT | A6 | D,1J1.9001A_,380mm,34mm,,,,,,,,,,,,,,,6,2 pieces,2 pieces
CHEVROLET,SUBURBAN 2500 SUV,09/99,12/07,8.1,09/00,12/03,254,345,UPGRADE GT kit,GT | A6 | TY1,1J2.9001A_,380mm,34mm,,,,,,,,,,,,,,,6,2 pieces,2 pieces
CHEVROLET,SUBURBAN 2500 SUV,09/99,12/07,8.1,09/00,12/03,254,345,UPGRADE GT kit,GT | A6 | TY3,1J3.9001A_,380mm,34mm,,,,,,,,,,,,,,,6,2 pieces,2 pieces
CHEVROLET,SUBURBAN 2500 SUV,09/99,12/07,8.1 4WD,09/00,12/03,254,345,Brake discs,Prime,09.9022.11,325mm,38mm,89mm,,8,Ventilated,118mm,"36,5mm",150Nm,1,,,,,,,,,
CHEVROLET,SUBURBAN 2500 SUV,09/99,12/07,8.1 4WD,09/00,12/03,254,345,Brake discs,Prime,09.8811.81,330mm,29mm,90mm,,8,Ventilated,123mm,27mm,,1,,,,,,,,,
CHEVROLET,SUBURBAN 2500 SUV,09/99,12/07,8.1 4WD,09/00,12/03,254,345,Brake pads,Prime Ceramic,P10026N,,19mm,67mm,216mm,,,,,,,Akebono,Acoustic,24628,"D784 7652, D784 8454",With anti-squeal shim,,,,
CHEVROLET,SUBURBAN 2500 SUV,09/99,12/07,8.1 4WD,09/00,12/03,254,345,Brake pads,Prime Ceramic,P10027N,,19mm,59mm,178mm,,,,,,,,Acoustic,,D785 7653,With anti-squeal shim,,,,
CHEVROLET,SUBURBAN 2500 SUV,09/99,12/07,8.1 4WD,09/00,12/03,254,345,UPGRADE GT kit,GT | A6 | D,1J1.9001A_,380mm,34mm,,,,,,,,,,,,,,,6,2 pieces,2 pieces
CHEVROLET,SUBURBAN 2500 SUV,09/99,12/07,8.1 4WD,09/00,12/03,254,345,UPGRADE GT kit,GT | A6 | TY1,1J2.9001A_,380mm,34mm,,,,,,,,,,,,,,,6,2 pieces,2 pieces
CHEVROLET,SUBURBAN 2500 SUV,09/99,12/07,8.1 4WD,09/00,12/03,254,345,UPGRADE GT kit,GT | A6 | TY3,1J3.9001A_,380mm,34mm,,,,,,,,,,,,,,,6,2 pieces,2 pieces
CHEVROLET,SUBURBAN 2500 SUV,09/06,12/13,6.0 FLEX,09/10,12/13,262,356,Brake discs,Prime,09.9022.11,325mm,38mm,89mm,,8,Ventilated,118mm,"36,5mm",150Nm,1,,,,,,
CHEVROLET,SUBURBAN 2500 SUV,09/06,12/13,6.0 FLEX,09/10,12/13,262,356,Brake discs,Prime,09.8811.81,330mm,29mm,90mm,,8,Ventilated,123mm,27mm,,1,,,,,,
CHEVROLET,SUBURBAN 2500 SUV,09/06,12/13,6.0 FLEX,09/10,12/13,262,356,Brake pads,Prime Ceramic,P10026N,,19mm,67mm,216mm,,,,,,,Akebono,Acoustic,24628,"D784 7652, D784 8454",With anti-squeal shim,
CHEVROLET,SUBURBAN 2500 SUV,09/06,12/13,6.0 FLEX,09/10,12/13,262,356,Brake pads,Prime Ceramic,P10027N,,19mm,59mm,178mm,,,,,,,,Acoustic,,D785 7653,With anti-squeal shim,
CHEVROLET,SUBURBAN 2500 SUV,09/06,12/13,6.0 FLEX 4WD,09/10,12/13,262,356,Brake discs,Prime,09.9022.11,325mm,38mm,89mm,,8,Ventilated,118mm,"36,5mm",150Nm,1,,,,,,
CHEVROLET,SUBURBAN 2500 SUV,09/06,12/13,6.0 FLEX 4WD,09/10,12/13,262,356,Brake discs,Prime,09.8811.81,330mm,29mm,90mm,,8,Ventilated,123mm,27mm,,1,,,,,,
CHEVROLET,SUBURBAN 2500 SUV,09/06,12/13,6.0 FLEX 4WD,09/10,12/13,262,356,Brake pads,Prime Ceramic,P10026N,,19mm,67mm,216mm,,,,,,,Akebono,Acoustic,24628,"D784 7652, D784 8454",With anti-squeal shim,
CHEVROLET,SUBURBAN 2500 SUV,09/06,12/13,6.0 FLEX 4WD,09/10,12/13,262,356,Brake pads,Prime Ceramic,P10027N,,19mm,59mm,178mm,,,,,,,,Acoustic,,D785 7653,With anti-squeal shim,
CHEVROLET,TAHOE (B2W),09/99,12/06,4.8,05/00,12/06,205,279,Brake discs,Prime,09.8192.81,305mm,29mm,58mm,,6,Ventilated,79mm,"27,2mm",,1,,,,,,,,,
CHEVROLET,TAHOE (B2W),09/99,12/06,4.8,05/00,12/06,205,279,Brake discs,Prime,09.8608.81,330mm,30mm,96mm,,6,Ventilated,79mm,"28,5mm",,1,,,,,,,,,
CHEVROLET,TAHOE (B2W),09/99,12/06,4.8,05/00,12/06,205,279,Brake pads,Prime Ceramic,P10027N,,19mm,59mm,178mm,,,,,,,,Acoustic,,D785 7653,With anti-squeal shim,,,,
CHEVROLET,TAHOE (B2W),09/99,12/06,4.8,05/00,12/06,205,279,Brake pads,Prime Ceramic,P10040N,,17mm,61mm,184mm,,,,,,,,Acoustic,23992,D975 7707,With anti-squeal shim,,,,
CHEVROLET,TAHOE (B2W),09/99,12/06,4.8,05/00,12/06,205,279,UPGRADE GT kit,GT | A8 | D,1G1.9001A_,380mm,34mm,,,,,,,,,,,,,,,8,2 pieces,Monoblock
CHEVROLET,TAHOE (B2W),09/99,12/06,4.8,05/00,12/06,205,279,UPGRADE GT kit,GT | A8 | TY1,1G2.9001A_,380mm,34mm,,,,,,,,,,,,,,,8,2 pieces,Monoblock
CHEVROLET,TAHOE (B2W),09/99,12/06,4.8,05/00,12/06,205,279,UPGRADE GT kit,GT | A8 | TY3,1G3.9001A_,380mm,34mm,,,,,,,,,,,,,,,8,2 pieces,Monoblock
CHEVROLET,TAHOE (B2W),09/99,12/06,4.8,05/00,12/06,205,279,UPGRADE GT kit,GT | A6 | D,1J1.9016A_,380mm,34mm,,,,,,,,,,,,,,,6,2 pieces,2 pieces
CHEVROLET,TAHOE (B2W),09/99,12/06,4.8,05/00,12/06,205,279,UPGRADE GT kit,GT | A6 | TY1,1J2.9016A_,380mm,34mm,,,,,,,,,,,,,,,6,2 pieces,2 pieces
CHEVROLET,TAHOE (B2W),09/99,12/06,4.8,05/00,12/06,205,279,UPGRADE GT kit,GT | A6 | TY3,1J3.9016A_,380mm,34mm,,,,,,,,,,,,,,,6,2 pieces,2 pieces
CHEVROLET,TAHOE (B2W),09/99,12/06,4.8,05/00,12/06,205,279,UPGRADE GT kit,GT | A4 | D,2H1.8003A_,355mm,32mm,,,,,,,,,,,,,,,4,2 pieces,2 pieces
CHEVROLET,TAHOE (B2W),09/99,12/06,4.8,05/00,12/06,205,279,UPGRADE GT kit,GT | A4 | TY1,2H2.8003A_,355mm,32mm,,,,,,,,,,,,,,,4,2 pieces,2 pieces
CHEVROLET,TAHOE (B2W),09/99,12/06,4.8 V8,12/99,12/06,205,279,Brake discs,Prime,09.8192.81,305mm,29mm,58mm,,6,Ventilated,79mm,"27,2mm",,1,,,,,,
CHEVROLET,TAHOE (B2W),09/99,12/06,4.8 V8,12/99,12/06,205,279,Brake discs,Prime,09.8608.81,330mm,30mm,96mm,,6,Ventilated,79mm,"28,5mm",,1,,,,,,
CHEVROLET,TAHOE (B2W),09/99,12/06,4.8 V8,12/99,12/06,205,279,Brake pads,Prime Ceramic,P10027N,,19mm,59mm,178mm,,,,,,,,Acoustic,,D785 7653,With anti-squeal shim,
CHEVROLET,TAHOE (B2W),09/99,12/06,4.8 V8,12/99,12/06,205,279,Brake pads,Prime Ceramic,P10040N,,17mm,61mm,184mm,,,,,,,,Acoustic,23992,D975 7707,With anti-squeal shim,
CHEVROLET,TAHOE (B2W),09/99,12/06,5.3,09/99,12/06,213,290,Brake discs,Prime,09.8192.81,305mm,29mm,58mm,,6,Ventilated,79mm,"27,2mm",,1,,,,,,
CHEVROLET,TAHOE (B2W),09/99,12/06,5.3,09/99,12/06,213,290,Brake discs,Prime,09.8608.81,330mm,30mm,96mm,,6,Ventilated,79mm,"28,5mm",,1,,,,,,
CHEVROLET,TAHOE (B2W),09/99,12/06,5.3,09/99,12/06,213,290,Brake pads,Prime Ceramic,P10027N,,19mm,59mm,178mm,,,,,,,,Acoustic,,D785 7653,With anti-squeal shim,
CHEVROLET,TAHOE (B2W),09/99,12/06,5.3,09/99,12/06,213,290,Brake pads,Prime Ceramic,P10040N,,17mm,61mm,184mm,,,,,,,,Acoustic,23992,D975 7707,With anti-squeal shim,
CHEVROLET,TAHOE (B2W),09/99,12/06,5.3 AWD,10/02,12/06,213,290,Brake discs,Prime,09.8192.81,305mm,29mm,58mm,,6,Ventilated,79mm,"27,2mm",,1,,,,,,,,,
CHEVROLET,TAHOE (B2W),09/99,12/06,5.3 AWD,10/02,12/06,213,290,Brake discs,Prime,09.8608.81,330mm,30mm,96mm,,6,Ventilated,79mm,"28,5mm",,1,,,,,,,,,
CHEVROLET,TAHOE (B2W),09/99,12/06,5.3 AWD,10/02,12/06,213,290,Brake pads,Prime Ceramic,P10027N,,19mm,59mm,178mm,,,,,,,,Acoustic,,D785 7653,With anti-squeal shim,,,,
CHEVROLET,TAHOE (B2W),09/99,12/06,5.3 AWD,10/02,12/06,213,290,Brake pads,Prime Ceramic,P10040N,,17mm,61mm,184mm,,,,,,,,Acoustic,23992,D975 7707,With anti-squeal shim,,,,
CHEVROLET,TAHOE (B2W),09/99,12/06,5.3 AWD,10/02,12/06,213,290,UPGRADE GT kit,GT | A8 | D,1G1.9001A_,380mm,34mm,,,,,,,,,,,,,,,8,2 pieces,Monoblock
CHEVROLET,TAHOE (B2W),09/99,12/06,5.3 AWD,10/02,12/06,213,290,UPGRADE GT kit,GT | A8 | TY1,1G2.9001A_,380mm,34mm,,,,,,,,,,,,,,,8,2 pieces,Monoblock
CHEVROLET,TAHOE (B2W),09/99,12/06,5.3 AWD,10/02,12/06,213,290,UPGRADE GT kit,GT | A8 | TY3,1G3.9001A_,380mm,34mm,,,,,,,,,,,,,,,8,2 pieces,Monoblock
CHEVROLET,TAHOE (B2W),09/99,12/06,5.3 AWD,10/02,12/06,213,290,UPGRADE GT kit,GT | A6 | D,1J1.9016A_,380mm,34mm,,,,,,,,,,,,,,,6,2 pieces,2 pieces
CHEVROLET,TAHOE (B2W),09/99,12/06,5.3 AWD,10/02,12/06,213,290,UPGRADE GT kit,GT | A6 | TY1,1J2.9016A_,380mm,34mm,,,,,,,,,,,,,,,6,2 pieces,2 pieces
CHEVROLET,TAHOE (B2W),09/99,12/06,5.3 AWD,10/02,12/06,213,290,UPGRADE GT kit,GT | A6 | TY3,1J3.9016A_,380mm,34mm,,,,,,,,,,,,,,,6,2 pieces,2 pieces
CHEVROLET,TAHOE (B2W),09/99,12/06,5.3 AWD,10/02,12/06,213,290,UPGRADE GT kit,GT | A4 | D,2H1.8003A_,355mm,32mm,,,,,,,,,,,,,,,4,2 pieces,2 pieces
CHEVROLET,TAHOE (B2W),09/99,12/06,5.3 AWD,10/02,12/06,213,290,UPGRADE GT kit,GT | A4 | TY1,2H2.8003A_,355mm,32mm,,,,,,,,,,,,,,,4,2 pieces,2 pieces
CHEVROLET,TAHOE (B2W),09/99,12/06,5.3 Flexfuel,09/01,12/03,213,290,UPGRADE GT kit,GT | A8 | D,1G1.9001A_,380mm,34mm,,,,,,,,,,,,,,,8,2 pieces,Monoblock
CHEVROLET,TAHOE (B2W),09/99,12/06,5.3 Flexfuel,09/01,12/03,213,290,UPGRADE GT kit,GT | A8 | TY1,1G2.9001A_,380mm,34mm,,,,,,,,,,,,,,,8,2 pieces,Monoblock
CHEVROLET,TAHOE (B2W),09/99,12/06,5.3 Flexfuel,09/01,12/03,213,290,UPGRADE GT kit,GT | A8 | TY3,1G3.9001A_,380mm,34mm,,,,,,,,,,,,,,,8,2 pieces,Monoblock
CHEVROLET,TAHOE (B2W),09/99,12/06,5.3 Flexfuel,09/01,12/03,213,290,UPGRADE GT kit,GT | A6 | D,1J1.9016A_,380mm,34mm,,,,,,,,,,,,,,,6,2 pieces,2 pieces
CHEVROLET,TAHOE (B2W),09/99,12/06,5.3 Flexfuel,09/01,12/03,213,290,UPGRADE GT kit,GT | A6 | TY1,1J2.9016A_,380mm,34mm,,,,,,,,,,,,,,,6,2 pieces,2 pieces
CHEVROLET,TAHOE (B2W),09/99,12/06,5.3 Flexfuel,09/01,12/03,213,290,UPGRADE GT kit,GT | A6 | TY3,1J3.9016A_,380mm,34mm,,,,,,,,,,,,,,,6,2 pieces,2 pieces
CHEVROLET,TAHOE (B2W),09/99,12/06,5.3 Flexfuel,09/01,12/03,213,290,UPGRADE GT kit,GT | A4 | D,2H1.8003A_,355mm,32mm,,,,,,,,,,,,,,,4,2 pieces,2 pieces
CHEVROLET,TAHOE (B2W),09/99,12/06,5.3 Flexfuel,09/01,12/03,213,290,UPGRADE GT kit,GT | A4 | TY1,2H2.8003A_,355mm,32mm,,,,,,,,,,,,,,,4,2 pieces,2 pieces
CHEVROLET,TAHOE (B2W),09/99,12/06,5.3 Flexfuel,09/03,12/06,220,299,UPGRADE GT kit,GT | A8 | D,1G1.9001A_,380mm,34mm,,,,,,,,,,,,,,,8,2 pieces,Monoblock
CHEVROLET,TAHOE (B2W),09/99,12/06,5.3 Flexfuel,09/03,12/06,220,299,UPGRADE GT kit,GT | A8 | TY1,1G2.9001A_,380mm,34mm,,,,,,,,,,,,,,,8,2 pieces,Monoblock
CHEVROLET,TAHOE (B2W),09/99,12/06,5.3 Flexfuel,09/03,12/06,220,299,UPGRADE GT kit,GT | A8 | TY3,1G3.9001A_,380mm,34mm,,,,,,,,,,,,,,,8,2 pieces,Monoblock
CHEVROLET,TAHOE (B2W),09/99,12/06,5.3 Flexfuel,09/03,12/06,220,299,UPGRADE GT kit,GT | A6 | D,1J1.9016A_,380mm,34mm,,,,,,,,,,,,,,,6,2 pieces,2 pieces
CHEVROLET,TAHOE (B2W),09/99,12/06,5.3 Flexfuel,09/03,12/06,220,299,UPGRADE GT kit,GT | A6 | TY1,1J2.9016A_,380mm,34mm,,,,,,,,,,,,,,,6,2 pieces,2 pieces
CHEVROLET,TAHOE (B2W),09/99,12/06,5.3 Flexfuel,09/03,12/06,220,299,UPGRADE GT kit,GT | A6 | TY3,1J3.9016A_,380mm,34mm,,,,,,,,,,,,,,,6,2 pieces,2 pieces
CHEVROLET,TAHOE (B2W),09/99,12/06,5.3 Flexfuel,09/03,12/06,220,299,UPGRADE GT kit,GT | A4 | D,2H1.8003A_,355mm,32mm,,,,,,,,,,,,,,,4,2 pieces,2 pieces
CHEVROLET,TAHOE (B2W),09/99,12/06,5.3 Flexfuel,09/03,12/06,220,299,UPGRADE GT kit,GT | A4 | TY1,2H2.8003A_,355mm,32mm,,,,,,,,,,,,,,,4,2 pieces,2 pieces
CHEVROLET,TAHOE (B2W),09/99,12/06,5.3 Flexfuel AWD,09/01,12/03,213,290,UPGRADE GT kit,GT | A8 | D,1G1.9001A_,380mm,34mm,,,,,,,,,,,,,,,8,2 pieces,Monoblock
CHEVROLET,TAHOE (B2W),09/99,12/06,5.3 Flexfuel AWD,09/01,12/03,213,290,UPGRADE GT kit,GT | A8 | TY1,1G2.9001A_,380mm,34mm,,,,,,,,,,,,,,,8,2 pieces,Monoblock
CHEVROLET,TAHOE (B2W),09/99,12/06,5.3 Flexfuel AWD,09/01,12/03,213,290,UPGRADE GT kit,GT | A8 | TY3,1G3.9001A_,380mm,34mm,,,,,,,,,,,,,,,8,2 pieces,Monoblock
CHEVROLET,TAHOE (B2W),09/99,12/06,5.3 Flexfuel AWD,09/01,12/03,213,290,UPGRADE GT kit,GT | A6 | D,1J1.9016A_,380mm,34mm,,,,,,,,,,,,,,,6,2 pieces,2 pieces
CHEVROLET,TAHOE (B2W),09/99,12/06,5.3 Flexfuel AWD,09/01,12/03,213,290,UPGRADE GT kit,GT | A6 | TY1,1J2.9016A_,380mm,34mm,,,,,,,,,,,,,,,6,2 pieces,2 pieces
CHEVROLET,TAHOE (B2W),09/99,12/06,5.3 Flexfuel AWD,09/01,12/03,213,290,UPGRADE GT kit,GT | A6 | TY3,1J3.9016A_,380mm,34mm,,,,,,,,,,,,,,,6,2 pieces,2 pieces
CHEVROLET,TAHOE (B2W),09/99,12/06,5.3 Flexfuel AWD,09/01,12/03,213,290,UPGRADE GT kit,GT | A4 | D,2H1.8003A_,355mm,32mm,,,,,,,,,,,,,,,4,2 pieces,2 pieces
CHEVROLET,TAHOE (B2W),09/99,12/06,5.3 Flexfuel AWD,09/01,12/03,213,290,UPGRADE GT kit,GT | A4 | TY1,2H2.8003A_,355mm,32mm,,,,,,,,,,,,,,,4,2 pieces,2 pieces
CHEVROLET,TAHOE (B2W),09/99,12/06,5.3 Flexfuel AWD,09/03,12/06,220,299,UPGRADE GT kit,GT | A8 | D,1G1.9001A_,380mm,34mm,,,,,,,,,,,,,,,8,2 pieces,Monoblock
CHEVROLET,TAHOE (B2W),09/99,12/06,5.3 Flexfuel AWD,09/03,12/06,220,299,UPGRADE GT kit,GT | A8 | TY1,1G2.9001A_,380mm,34mm,,,,,,,,,,,,,,,8,2 pieces,Monoblock
CHEVROLET,TAHOE (B2W),09/99,12/06,5.3 Flexfuel AWD,09/03,12/06,220,299,UPGRADE GT kit,GT | A8 | TY3,1G3.9001A_,380mm,34mm,,,,,,,,,,,,,,,8,2 pieces,Monoblock
CHEVROLET,TAHOE (B2W),09/99,12/06,5.3 Flexfuel AWD,09/03,12/06,220,299,UPGRADE GT kit,GT | A6 | D,1J1.9016A_,380mm,34mm,,,,,,,,,,,,,,,6,2 pieces,2 pieces
CHEVROLET,TAHOE (B2W),09/99,12/06,5.3 Flexfuel AWD,09/03,12/06,220,299,UPGRADE GT kit,GT | A6 | TY1,1J2.9016A_,380mm,34mm,,,,,,,,,,,,,,,6,2 pieces,2 pieces
CHEVROLET,TAHOE (B2W),09/99,12/06,5.3 Flexfuel AWD,09/03,12/06,220,299,UPGRADE GT kit,GT | A6 | TY3,1J3.9016A_,380mm,34mm,,,,,,,,,,,,,,,6,2 pieces,2 pieces
CHEVROLET,TAHOE (B2W),09/99,12/06,5.3 Flexfuel AWD,09/03,12/06,220,299,UPGRADE GT kit,GT | A4 | D,2H1.8003A_,355mm,32mm,,,,,,,,,,,,,,,4,2 pieces,2 pieces
CHEVROLET,TAHOE (B2W),09/99,12/06,5.3 Flexfuel AWD,09/03,12/06,220,299,UPGRADE GT kit,GT | A4 | TY1,2H2.8003A_,355mm,32mm,,,,,,,,,,,,,,,4,2 pieces,2 pieces
CHEVROLET,TAHOE (GMT400),10/93,04/01,5.7 V8,10/94,09/96,190,258,Brake pads,Prime Ceramic,P10021N,,17mm,59 - 76mm,126 - 147mm,,,,,,,Bendix,Acoustic,25373,D369 7259,With accessoriesWith anti-squeal shim,
CHEVROLET,TAHOE (GMT400),10/93,04/01,5.7 V8 AWD,10/94,09/96,190,258,Brake discs,Prime,09.7815.11,295mm,33mm,66mm,,6,Ventilated,79mm,"30,9mm",,2,,,,,,
CHEVROLET,TAHOE (GMT400),10/93,04/01,5.7 V8 AWD,10/94,09/96,190,258,Brake pads,Prime Ceramic,P10021N,,17mm,59 - 76mm,126 - 147mm,,,,,,,Bendix,Acoustic,25373,D369 7259,With accessoriesWith anti-squeal shim,
CHEVROLET,TAHOE (GMT900),01/07,07/14,4.8,09/07,12/09,220,299,UPGRADE GT kit,GT | A6 | D,1J1.9017A_,380mm,34mm,,,,,,,,,,,,,,,6,2 pieces,2 pieces
CHEVROLET,TAHOE (GMT900),01/07,07/14,4.8,09/07,12/09,220,299,UPGRADE GT kit,GT | A6 | TY1,1J2.9017A_,380mm,34mm,,,,,,,,,,,,,,,6,2 pieces,2 pieces
CHEVROLET,TAHOE (GMT900),01/07,07/14,4.8,09/07,12/09,220,299,UPGRADE GT kit,GT | A6 | TY3,1J3.9017A_,380mm,34mm,,,,,,,,,,,,,,,6,2 pieces,2 pieces
CHEVROLET,TAHOE (GMT900),01/07,07/14,4.8,09/07,12/09,220,299,UPGRADE GT kit,GT | BM8 | D,1Q1.9602A_,412mm,38mm,,,,,,,,,,,,,,,8,2 pieces,BM monoblock
CHEVROLET,TAHOE (GMT900),01/07,07/14,4.8,09/07,12/09,220,299,UPGRADE GT kit,GT | BM8 | TY1,1Q2.9602A_,412mm,38mm,,,,,,,,,,,,,,,8,2 pieces,BM monoblock
CHEVROLET,TAHOE (GMT900),01/07,07/14,4.8,09/07,12/09,220,299,UPGRADE GT kit,GT | A4 | D,2H1.9002A_,380mm,32mm,,,,,,,,,,,,,,,4,2 pieces,2 pieces
CHEVROLET,TAHOE (GMT900),01/07,07/14,4.8,09/07,12/09,220,299,UPGRADE GT kit,GT | A4 | TY1,2H2.9002A_,380mm,32mm,,,,,,,,,,,,,,,4,2 pieces,2 pieces
CHEVROLET,TAHOE (GMT900),01/07,07/14,4.8,09/07,12/09,220,299,UPGRADE GT kit,GT | A4 | TY3,2H3.9002A_,380mm,32mm,,,,,,,,,,,,,,,4,2 pieces,2 pieces
CHEVROLET,TAHOE (GMT900),01/07,07/14,4.8 4WD,09/07,12/09,220,299,UPGRADE GT kit,GT | A6 | D,1J1.9017A_,380mm,34mm,,,,,,,,,,,,,,,6,2 pieces,2 pieces
CHEVROLET,TAHOE (GMT900),01/07,07/14,4.8 4WD,09/07,12/09,220,299,UPGRADE GT kit,GT | A6 | TY1,1J2.9017A_,380mm,34mm,,,,,,,,,,,,,,,6,2 pieces,2 pieces
CHEVROLET,TAHOE (GMT900),01/07,07/14,4.8 4WD,09/07,12/09,220,299,UPGRADE GT kit,GT | A6 | TY3,1J3.9017A_,380mm,34mm,,,,,,,,,,,,,,,6,2 pieces,2 pieces
CHEVROLET,TAHOE (GMT900),01/07,07/14,4.8 4WD,09/07,12/09,220,299,UPGRADE GT kit,GT | BM8 | D,1Q1.9602A_,412mm,38mm,,,,,,,,,,,,,,,8,2 pieces,BM monoblock
CHEVROLET,TAHOE (GMT900),01/07,07/14,4.8 4WD,09/07,12/09,220,299,UPGRADE GT kit,GT | BM8 | TY1,1Q2.9602A_,412mm,38mm,,,,,,,,,,,,,,,8,2 pieces,BM monoblock
CHEVROLET,TAHOE (GMT900),01/07,07/14,4.8 4WD,09/07,12/09,220,299,UPGRADE GT kit,GT | A4 | D,2H1.9002A_,380mm,32mm,,,,,,,,,,,,,,,4,2 pieces,2 pieces
CHEVROLET,TAHOE (GMT900),01/07,07/14,4.8 4WD,09/07,12/09,220,299,UPGRADE GT kit,GT | A4 | TY1,2H2.9002A_,380mm,32mm,,,,,,,,,,,,,,,4,2 pieces,2 pieces
CHEVROLET,TAHOE (GMT900),01/07,07/14,4.8 4WD,09/07,12/09,220,299,UPGRADE GT kit,GT | A4 | TY3,2H3.9002A_,380mm,32mm,,,,,,,,,,,,,,,4,2 pieces,2 pieces
CHEVROLET,TAHOE (GMT900),01/07,07/14,5.3,01/07,12/13,239,325,Brake discs,Prime,09.A406.11,330mm,30mm,56mm,,6,Ventilated,79mm,28mm,,1,,,,,,,,,
CHEVROLET,TAHOE (GMT900),01/07,07/14,5.3,01/07,12/13,239,325,Brake discs,Prime,09.B534.11,345mm,20mm,85mm,,6,Ventilated,79mm,"18,5mm",,1,,,,,,,,,
CHEVROLET,TAHOE (GMT900),01/07,07/14,5.3,01/07,12/13,239,325,Brake pads,Prime Ceramic,P09015N,,19mm,60 - 64mm,184mm,,,,,,,Akebono,Acoustic,"22982, 22983, 22984","D1363 8472, D1363 8803",With accessoriesWith anti-squeal shim,,,,
CHEVROLET,TAHOE (GMT900),01/07,07/14,5.3,01/07,12/13,239,325,Brake pads,Prime Ceramic,P10058N,,19mm,60 - 64mm,184mm,,,,,,,Akebono,Acoustic,,D1363 8472,With accessoriesWith anti-squeal shim,,,,
CHEVROLET,TAHOE (GMT900),01/07,07/14,5.3,01/07,12/13,239,325,Brake pads,Prime Ceramic,P10065N,,19mm,60 - 64mm,184mm,,,,,,,Akebono,Acoustic,,"D1363 8472, D1367 8472",With accessoriesWith anti-squeal shim,,,,
